data,e,c,h,g,h2
2012-10,95.7,210.67,415.9,25,152.07
2012-11,112.6,447.67,883.79,29.5,323.14
2012-12,123.6,500.33,987.76,32.6,361.16
2013-01,123.97,918.22,1790.25,33.3,629.48
2013-02,124.33,946.05,1944.5,34,648.55
2013-03,124.7,862.57,2281.75,34.7,591.33
2013-04,116,639.98,1547.75,30.3,438.72
2013-05,117.6,333.9,651,29.6,228.9
2013-06,116.9,222.6,434,28.7,152.6
2013-07,122.1,166.95,325.5,27.3,114.45
2013-08,127.8,139.12,271.25,28.2,95.38
2013-09,109.9,278.25,542.5,27.7,190.75
2013-10,114.1,222.6,434,28.6,152.6
2013-11,136.4,473.03,922.25,33.1,324.27
2013-12,150.3,528.67,1030.75,37.6,362.42
2014-01,138.2,965.39,2081.2,35.95,751.02
2014-02,126.1,994.64,2244.27,34.3,773.78
2014-03,141.8,906.88,2455.07,37.7,705.51
2014-04,117.8,672.85,1850.53,33.3,523.44
2014-05,119.1,351.05,1456.8,32.5,273.1
2014-06,136.8,234.03,904.53,30.8,182.07
2014-07,138.5,175.52,578.4,32.2,136.55
2014-08,129.8,146.27,315.33,32.9,113.79
2014-09,117.5,292.54,630.67,29.4,227.58
2014-10,119.9,234.03,504.53,32.7,182.07
2014-11,137.8,497.32,1072.13,36.4,386.89
2014-12,153.2,555.83,1198.27,39.2,432.41
2015-01,132.6,1130.66,2540.76,36.65,853.88
2015-02,112,1164.92,2648.06,34.1,879.75
2015-03,136.2,1062.14,2326.17,36.2,802.12
2015-04,121.8,788.04,2067.8,28.1,595.12
2015-05,129.8,411.15,1687.55,30.5,310.5
2015-06,124.9,274.1,858.37,32.5,207
2015-07,136.8,205.58,643.77,32.8,155.25
2015-08,131.3,171.31,536.48,34.4,129.38
2015-09,117.6,342.62,1072.96,33.3,258.75
2015-10,122.5,274.1,858.37,35,207
2015-11,134.6,582.46,1824.03,36,439.88
2015-12,152.3,650.99,2038.62,39.9,491.62
2016-01,149.1,1314.91,2880.74,43.5,1084.88
2016-02,145.9,1354.76,3092.27,45.1,1117.75
2016-03,142.7,1235.22,2857.66,39.7,1019.12
2016-04,124,916.45,2265.36,33.9,756.12
2016-05,124.4,478.15,1738.45,32.2,394.5
2016-06,133.2,318.77,1092.3,31,263
2016-07,148.3,239.08,869.23,31.6,197.25
2016-08,161.5,199.23,557.69,31.8,164.38
2016-09,136.5,398.46,515.38,31.2,328.75
2016-10,131.3,318.77,892.3,33.5,263
2016-11,155.9,677.38,1896.14,36.8,558.88
2016-12,174.7,757.07,2119.21,39.7,624.62
2017-01,170.87,1437.7,3248.27,43.03,1103.3
2017-02,167.03,1481.27,3170.95,46.37,1136.73
2017-03,163.2,1350.57,3202.92,47.7,1036.43
2017-04,141.5,1002.03,2821.52,44.4,768.97
2017-05,133,522.8,1972.1,40.8,401.2
2017-06,136.2,348.53,1281.4,36,267.47
2017-07,164.8,261.4,736.05,34,200.6
2017-08,155.6,217.83,613.38,32.1,167.17
2017-09,126.3,435.67,726.75,32.6,334.33
2017-10,133.4,348.53,981.4,35.3,267.47
2017-11,156.9,740.63,2085.47,36.3,568.37
2017-12,180.6,827.77,2330.82,39.3,635.23
2018-01,175.6,1561.04,2854.29,43.2,970.2
2018-02,170.6,1608.34,3330.18,47.1,1229.6
2018-03,165.6,1466.43,3502.51,46,1411.4
2018-04,148.4,1088,2995.41,42.9,976.2
2018-05,136.2,567.65,2310.65,37.2,452.8
2018-06,135.1,378.43,1507.1,34.6,235.2
2018-07,152.4,283.82,955.32,36.1,176.4
2018-08,147.4,236.52,629.44,36,247
2018-09,114,473.04,1258.88,34.1,294
2018-10,112.7,378.43,1007.1,35.4,335.2
2018-11,145.8,804.17,2140.09,37.9,399.8
2018-12,181,898.78,2391.86,41.7,558.6
2019-01,177.77,1742.67,3636.41,42.1,866.38
2019-02,174.53,1795.48,3761.76,42.5,1304.75
2019-03,171.3,1637.06,3485.72,42.9,1589.62
2019-04,154.1,1214.59,2882.95,40.6,882.62
2019-05,152.4,633.7,1904.15,41.1,660.5
2019-06,150.9,422.47,1202.77,39.8,407
2019-07,169.7,316.85,752.07,39,430.25
2019-08,173.2,264.04,626.73,35.5,491.88
2019-09,151,528.08,1253.46,33.5,583.75
2019-10,141.4,422.47,1002.77,37,607
2019-11,188.4,897.74,2130.88,37.8,652.38
2019-12,218.7,1003.36,2381.57,42.6,729.12
2020-01,207.47,1845.94,3483.91,44.13,1403.88
2020-02,196.23,1901.88,3716.76,47.67,1646.42
2020-03,185,1734.06,3818.22,49.2,1318.79
2020-04,186.6,1286.56,3255.50,45.5,978.46
2020-05,181,671.25,1594.15,46.2,510.5
2020-06,172.3,447.5,1062.77,42.6,540.33
2020-07,187.7,335.62,797.07,38.7,555.25
2020-08,194.3,279.69,664.23,37.2,612.71
2020-09,176.8,559.38,1328.46,37.4,625.42
2020-10,172,447.5,1062.77,42,740.33
2020-11,201.1,950.94,2258.38,46.6,823.21
2020-12,238.7,1062.81,2524.07,48.4,908.29
2021-01,240.4,2145.28,3427.62,52.77,1696.89
2021-02,242.1,2210.28,3873.92,54.13,1748.31
2021-03,243.8,2015.26,4035.04,47.5,1594.05
2021-04,211.5,1495.19,3664.71,45,1182.68
2021-05,199.3,780.1,2755.5,42,617.05
2021-06,212.7,520.07,2170.33,40.2,611.37
2021-07,231.8,390.05,1570.75,39.1,508.52
2021-08,226.5,325.04,931.46,38.2,557.1
2021-09,173.4,650.08,1462.92,40.6,514.21
2021-10,190.2,520.07,1170.33,46.9,611.37
2021-11,199.6,1105.14,2486.96,48.2,874.15
2021-12,245.6,1235.16,2779.54,52.7,977
